,is_primary_role,description
10,0,"Who You Are 

Are you ready to be part of Global Sales and Customer Success data science team? Our data science team is an incubation hub for a range of initiatives that are changing the sales, partner, and customer experience. The team has been recognized for innovation both internally and through external industry awards. 

Who You'll Work With 

We are seeking a creative and experienced Data Visualization expert to build our team’s visual and interactive portfolio from the ground up. As our team’s first data visualization hire, we expect you to have experience delivering at each stage of visualization to take a project from pitch to design to user interaction. This role will work with data from within our team and around Cisco. 

What You'll Do 

Our team operates like a startup, so the ability to produce excellent work on a short deadline, learn quickly, and self-motivate are imperative. Because we trust our talent, we expect you to be able to produce work with minimal direction and supervision. 

Must have: 

· Degree in Computer Science, Information Sciences, Human-Computer Interaction, or related 

· Ability to create tools for visualizing and interacting with insights derived from predictive, statistical models. 

· Experience in a compiled language (Java, C++, etc.) 

· Expertise with HTML/CSS/Javascript, D3, Angular.js 

· Experience using design software 

· Experience with cartography and mapping skills 

· Meticulous attention to detail 

Ideally: 

· Experience working on multidisciplinary teams 

· Compelling and interactive online portfolio 

· Strong communication skills with both technical and non-technical audiences 

· Experience in data/visual journalism 

· Experience with statistical programming languages 

Why Cisco 

We connect everything: people, processes, data, and things. We innovate everywhere, taking bold risks to shape the technologies that give us smart cities, connected cars, and handheld hospitals. And we do it in style with unique personalities who aren’t afraid to change the way the world works, lives, plays and learns. 

We are thought leaders, tech geeks, pop culture aficionados, and we even have a few purple haired rock stars. We celebrate the creativity and diversity that fuels our innovation. We are dreamers and we are doers. 

We Are Cisco. 

Who You'll Work With 

Digitization, data science, and automation are transforming every business. The Digital Experience and Analytics organization is playing a key role in transforming the sales, partner, and customer experience across Cisco. As part of the Customer Success and Sales function, this group is delivering upon a multi-year vision that digitizes the way Cisco engages with customers and leverages data science to intelligently drive action in an increasingly automated manner. This new organization is a catalyst for change that impacts all parts of Cisco. The Customer Success data science team is an incubation hub for a range of initiatives that are changing the sales, partner, and customer experience. The team has been recognized for innovation both internally and through external industry awards. We're looking for someone who thrives in a fast-paced environment in which they have significant responsibility and autonomy for delivering results and who gets excited about the prospect of significant learning and growth. 

What You'll Do 

As a member of this dynamic and fast-paced team, you will validate, clean, transform and model high quality data with a goal to discover useful information and insights, suggest conclusions, and support decision making a with focus on the business outcomes. Identify data gaps, prepare immediate resolution plans and document/drive data requirements. Specific responsibilities include: * Be a Data Subject Matter expert for Global Customer Success and Virtual Sales success * Understand data requirements and identify the data sources in partnership with business analysts * Interpret data, Analyze, Validate and assure good data quality, provide ongoing reports * Identify, analyze, and interpret trends or patterns in complex data sets
Document the data findings, Define the plan to improve the data quality (as-required) * Document the impact of data quality and support Business Analyst to drive the roadmap * Create and manage data dictionary and data lineage diagrams
Perform Impact assessment and deep dive analysis in collaboration with stakeholders to ensure data integrity, consistency, usability and completeness
Gather and document key learnings and drive future enhancement and optimization
Data cleanup and transformation to support the business process as required
Discover basic data insights with data models
Who You Are 

Minimum Qualifications
Bachelor's degree or equivalent
2+ years data analysis experience in Big Data
Strong data analytical skills -- ability to identify and analyze complex patterns, data integration and data quality
Ability to communicate data issues clearly to broad audiences * Team player with positive can-do attitude; energetic and proactive
Work experience in business reporting / business intelligence environments Desired Skills * Problem solver with strong business acumen and deep experience in data analysis over Big Data (large datasets in Hadoop) * Critical thinking and ability to drive conclusions based on data findings * Written and verbal communication, including technical writing skills * Proficient in SQL, OLAP, MQE, Data Reports, Semantic and text analytics * Strong Excel skills * Basic statistics knowledge (variation and average) * Data Visualization - Graphs, charts, dashboards * Awareness of scripting language like Python * Awareness of basic data modelling concepts Why Cisco We connect everything: people, processes, data, and things. We innovate everywhere, taking bold risks to shape the technologies that give us smart cities, connected cars, and handheld hospitals. And we do it in style with unique personalities who aren't afraid to change the way the world works, lives, plays and learns. We are thought leaders, tech geeks, pop culture aficionados, and we even have a few purple haired rock stars. We celebrate the creativity and diversity that fuels our innovation. We are dreamers and we are doers. We Are Cisco.
"
11,1,"Looking for a company that inspires passion, courage and imagination, where you can be part of the team shaping the future of global commerce? Want to shape how millions of people buy, sell, connect, and share around the world? If you’re interested in joining a purpose driven community that is dedicated to creating an ambitious and inclusive workplace, join eBay – a company you can be proud to be a part of. 

We are looking to hire an analytics & insights expert to partner with the shopping experience product and Engineering teams. Ebay is undergoing a radical platform transformation – converting un-structured data into structured, and building a unique shopping experience on top of that – to help our customers browse and discover the breath of ebay’s inventory selection. This is a complex undertaking with interesting and challenging problems. 

This leader will have the unique opportunity to influence decision making of the Shopping experience product roadmap with their insights and thought leadership. To be successful in this role: 
The leader would have to strike a balance between being able to guide and influence the thinking and vision of the overall team while at the same time be extremely comfortable doing actual hands-on analyses using tools & packages such as SQL, R, Python etc. 

This leader needs to possess not only super strong technical skills to turn big data in Teradata and Hadoop into actionable insights, but also big picture thinking to connect the dots and evaluate how the insights impact eBay’s ecosystem. 

In addition to delivering insights on existing Product & Tech initiatives, successful leaders will come up with innovative product growth opportunities based on insights and create momentum behind them by bringing along senior leaders in the company. 
Strong analytical acumen with thought leadership and critical thinking. 
Proven track record of turning insights into product growth opportunities in prior roles with increasing scope and responsibilities. Preferably in a leading technology companies with 5 to 7 years of experience.
Great articulation skills - ability to explain complex analyses and insights into simple terms
Strong background in e-commerce.
Strong technical skills to turn the big data in Teradata and Hadoop into actionable insights. Hands-on ability in using SQL, R, Python etc.
Strong quantitative background with Masters degree in Computer Science, Math, Physics, Engineering. PhD degrees preferred.
Good experience with both descriptive and inferential statistics – ability to build basic prototype models.
Experience with site experimentation (A/B testing) is a plus.
eBay 

is a Subsidiary of eBay. 

This website uses cookies to enhance your experience. By continuing to browse the site, you agree to our use of cookies 

View our privacy policy 

View our accessibility info
"
12,0,"We are looking for a Data Analyst to join our Data Science team. The ideal candidate would be an energetic, results focused self-starter with excellent analytical skills and an ability to decompose ambiguous questions into discrete data problems and answer with clear, actionable insights. 

Key Responsibilities
Work with stakeholders in Growth, Marketing and Product to set and track meaningful KPIs
Work with Product Managers on exploratory analyses to find actionable info to drive growth
Develop standardized dashboards and ad hoc reports to inform decisions
Brainstorm new ideas and design experiments, test them, and analyze results
Requirements:
2+ years experience in product analytics, business intelligence, data analysis, data science, or similar area
Bachelors or Masters in Statistics, Math, Computer Science or other quantitative field (or equivalent experience)
Strong SQL skills are a must. Experience extracting, manipulating, and analyzing large data sets using SQL
Understanding of best practices in data visualization
Experience with data visualization and dashboard tools such as Tableau
Extremely attentive to detail, data accuracy, and quality of output
Experience with big data frameworks preferred
Bonus: Comfortable with statistics and common pitfalls in experimental design and analysis
Bonus: Some experience in a scripting language like Python a plus
NOTE: Please complete the Data Analyst Screening Questions after your submission. The application will not be considered if the questionnaire is not completed. 
https://docs.google.com/forms/d/e/1FAIpQLSdPzuQxjSTdqh5Ba-EQDn6gWyNqoBfYUxVRdzo9J-qiULBL_Q/viewform?c=0&w=1 

A few perks and benefits to whet your appetite:
Market competitive compensation package including stock options
Medical, dental & vision insurance coverage for employees
Coverage for disability, life and AD&D insurance
Domestic partner coverage
401(K) plan
Flexible time off
10 paid holidays
Free catered lunch, snacks and drinks
Paid Caltrain GoPass
Paid gym membership
Onsite weekly massages available at a discounted rate
Employee Referral Program
Company sponsored speaker series: “Learning about Learning”
Happy hours, company outings and more
Open floor plan office with great views
The position is located in San Mateo, CA, right off the 101 freeway and the San Mateo Bridge. 

How Edmodo is making a difference. 

Our mission is to connect all learners to the people and resources needed to achieve their full potential. We are the world's leading global education network that provides communication, collaboration, and coaching tools for all members of the school community. We were founded in 2008 and currently have over 80 million members across 350,000+ schools in 150 countries. 

The investors backing Edmodo are some of the best-recognized firms in the world, including Benchmark Capital, Greylock Ventures, Index Ventures, Union Square Ventures, Learn Capital and our Chairman is Reid Hoffman, founder of LinkedIn. 

So join the team that is changing how teachers and students learn - change lives, build your career and rack up the karma. 

Edmodo is an equal opportunity employer and does not unlawfully discriminate in employment. Equal access to employment, services, and programs is available to all persons. Those applicants requiring reasonable accommodation to the application and/or interview process should notify a representative of the organization. 

Please note: Though submitting a resume to Edmodo implies that you are interested in a position(s), it does not imply that you are an applicant. You are not considered an applicant until you have been contacted directly by a Human Resources representative requesting that you begin the designated application process, which may involve phone and/or in-person interview(s), job-related testing, and background checking.
"
13,0,"Note: By applying to this position your application is automatically submitted to the following locations: Kirkland, WA, USA; Seattle, WA, USA; Mountain View, CA, USA; San Bruno, CA, USA
Help serve Google's worldwide user base of more than a billion people. Business Analysts provide quantitative support, market understanding and a strategic perspective to our partners throughout the organization. As a data-loving member of the team, you serve as an analytics expert for your partners, using numbers to help them make better decisions. You weave stories with meaningful insight from data. You make critical recommendations for your fellow Googlers in Engineering and Product Management. As a self-starter, you relish tallying up the numbers one minute and communicating your findings to a team leader the next. 

You can see different angles of a product or business opportunity, and you know how to connect the dots and interact with people in various roles and functions. You have substantial experience with analytical tools and techniques, and bring a solid skill-set in analyzing data and communicating recommendations. You will deepen your skill-set by working with analytical thought leaders across the company. 

Data Scientists are changing the world one technological achievement after another. 

Experimentation is at the core of what you do. In this role, you will work to effectively turn business questions into data analysis, and provide meaningful recommendations on strategy. This is a unique hybrid role that will focus on your knowledge of data infrastructure and your ability to drive insights. 

Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, engineers not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From AdWords to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another.
Responsibilities
Conduct data analysis to make business recommendations (cost-benefit, invest-divest, forecasting, impact analysis).
Deliver effective presentations of findings and recommendations to multiple levels of stakeholders, creating visual displays of quantitative information.
Develop and automate reports, iteratively build and prototype dashboards to provide insights at scale, solving for analytical needs.
Collaborate with cross-functional stakeholders to understand their business needs, formulate and complete end-to-end analysis that includes data gathering, analysis, ongoing scaled deliverables and presentations.
Help Google to focus on key decisions to improve products and services.

Qualifications
Minimum qualifications:
BA/BS degree or equivalent practical experience.
3 years of experience working with statistical packages (e.g. R, SAS, Stata, MATLAB, etc.)
Experience with articulating product questions, pulling data from datasets (SQL) and using statistics to arrive at an answer.
Preferred qualifications:
BA/BS or Master's degree with emphasis on coursework of a quantitative nature (e.g., Statistics, Computer Science, Engineering, Mathematics, Data Sciences)
Experience in scripting with SQL, extracting large sets of data, and design of ETL flows
Work experience in an inter-disciplinary/cross-functional field.
Deep interest and aptitude in data, metrics, analysis and trends and applied knowledge of measurement, statistics and program evaluation.
Distinctive problem solving skills and impeccable business judgment.
Capable of translating analysis results into business recommendations. Strong written and verbal communication skills.
At Google, we don’t just accept difference - we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you have a disability or special need that requires accommodation, please let us know.
"
14,0,"Are you looking to work in a dynamic environment where you will have an immediate impact? Create data-driven insights for a company reinventing the healthcare space. Join a growing team looking to build out their business analytics department with both junior and senior level hires. Be able to shape the analytics strategy of the company and be at the forefront of a healthcare revolution. They are a data-driven organization, using analytics and insights to drive healthcare into the future.
The Company:
An innovator in the healthcare space. They are growing rapidly and value the insights data brings. They are looking to expand the data analytics functions as the business grows. You will be a part of a vibrant team diving into all sorts of customer data to help guide the direction of the business.
The Role:
Dive into the data and make sense of complicated and untouched data sets (also means you have a huge impact!)
Work with other data-driven teams to drive insights.
Cross-functional role with exposure to both the product and operations teams.
Work in Excel, SQL, and Python to pull, clean, analyze and interpret data
Create dashboards and reports to automate insights.
Uncover risks and opportunities for the business through data analysis
Develop and iterate on KPIs to create a more effective and enjoyable user experience.
Your Skills:
Background in probability and statistics
Excel wizard, you are comfortable doing complex analyses in excel
Some working experience with SQL
Cross-functional and collaborative
Team player excited to help your peers with their projects.
Comfortable working autonomously
Bonus Points:
Exposure to Python (either self-taught or on the job)
Experience in healthcare or medical field
Benefits:
Competitive Salary + bonus and pre-IPO stock incentives, downtown SF office
How to apply:
Please register your interest by sending your CV to Sonia Manssen via the Apply link on this page.
Keywords:
| data visualization | consumer insights | marketing insights | user insights | healthcare| python | SQL | technology |reporting | analytics
"
15,1,"Are you excited by an opportunity to leverage huge amounts of data and your skills to solve a fundamental need of all human beings? If so, we have a once in a lifetime opportunity for you to use invaluable health-related data, connect the dots, and help us save lives every day. HealthTap is bringing together the best talent to build a best in class data team in digital health. 

Right now, we're looking for a world leading Senior Data Scientist to bring virtual care to billions of people globally safely and securely. 
HealthTap, a World Economic Forum Technology Pioneer, is the world’s first Global Health Practice delivering immediate, world-class healthcare 24/7 from query-to-cure. Through video, voice, and text chat on any mobile device or personal computer, we connect hundreds of millions of people in 174 countries with the most trusted and compassionate health advice from a network of more than 107,000 top doctors. 

How does that work? 
You can search the world's largest library (more than 5.7 billion answers served) of peer-reviewed doctor knowledge for any health topic 
Or ask help from Dr. A.I, our virtual “physician” who translates your symptoms into personalized, doctor-recommended insights and best course of action—trained by HealthTap’s doctor network 
And if needed, connect with a doctor for a live virtual consult through voice, video, or text—and get prescriptions, labs tests, and referrals as needed. HealthTap’s proprietary, robust, and secure Health Operating System (HOPES™) and proprietary triaging technology, powered by Artificial Intelligence, enable hospital systems, insurance companies, employers, and governments worldwide to deliver the right care at the right time at the right cost. We generate significant revenue and are funded by some of the world's most reputable investors. Just like the quality of the services we provide, security matters to us most! HealthTap is, therefore, HIPAA-compliant and SOC 2 Type II-certified. 

What’s the opportunity? 
As a senior member of the data team, you'll have resources, autonomy, and the support of other A-players to drive detection, prevention, and analysis of security threats of the HOPES™ platform and the millions of active patients and doctors on it. 

Examples of data projects you could work on: 

Realize the dreams of Dr A.I., our artificial intelligence powered virtual physician, by enhancing the machine learning model 
Mine our knowledge base of more than 5.5 billion doctor answers served and improve the lives of millions of people 
Implement and own deep analysis of very large datasets 
Real-time trending of health-related issues 

Need to have 

You’re passionate about making the world a happier, healthier place 
You have a BS/MS/PhD in quantitative discipline (applied mathematics, statistics, CS, OR, or related field)
You have 3+ years of experience using quantitative approaches to solve challenging and meaningful analytical problems (or equivalent) 
You are proficient in programming and the use of analytic tools to perform rapid design, prototyping, analysis, simulation of, and experimentation with, advanced algorithms and technologies such as Python, R, Java, SQL, Matlab, Mathematica 
You have solid grounding in applied mathematics and statistics including expertise in Bayesian Modeling, Multivariate Regression, Logistic Regression, Machine Learning, Cluster Analysis, Decision Analysis, Time-series Analysis and Forecasting, Factor Analysis, Structural Equation Modeling, Item Response Theory, Markov chains, Data Visualization (ggplot2/Shiny/matplotlib) 
You have real-world experience working with massive amount of data using big data tools such as HIve, Pig, Impala, Spark Streaming/SQL, Presto, etc. 
You have worked with large scale data platforms such as Hadoop, Spark, Redshift, NoSQL (DynamoDB/Cassandra/MongoDB), etc. 
You don’t stop until the problem is solved 
You like extreme ownership 

Nice to have 
You are familiar with AWS 
You have a working knowledge of Map-Reduce, ETL, Tableau 
An entrepreneurial background is a plus 
Working experience in a smaller hyper-growth startup is a plus 

Perks 
Protect people and save lives 
Enjoy autonomy— the security team will directly report to the CTO of HealthTap 
Work in either of our locations: Palo Alto’s University Avenue office (steps from Caltrain), or in San Francisco 
Get served catered lunch, dinners, and healthy snacks 
Take advantage of subsidized gym membership 
Relax with in-office massages 
Get covered by full medical, dental, and vision insurance 
Enjoy competitive compensation and equity 
Win at work in a diverse culture--Visa sponsorship is available 
Enjoy a pet-friendly office with 4 legged members of our team :) 

Source: HealthTap, https://www.healthtap.com/work_with_us/jobs
"
16,0,"Description
Intuit is the global leader in financial management software. We are pioneering the shift to cloud computing for consumers, small businesses and those that serve them. We are the champions of those who dare to dream. This means dramatically rethinking how we can enable small businesses and self-employed to run their businesses with confidence, and save time by using both our cloud solutions and our app partners.

The Accountant Segment Analytics team is part of the Small Business and Self-Employed Data Analytics & Science team. It drives user growth and retention through Intuit's major partner -- accountants. We are an exciting, growing and fun team that works with industry-leading analytics tools, techniques and best practices.

As a senior analyst, you will focus on delivering key insights to drive product adoption, enhance product features and increase user conversion and retention by partnering closely with product engineers, product managers and XD designers. You will dive deep into our data to uncover actionable insights and make recommendations that will influence the key product decisions. The ideal candidate will have a strong background in quantitative analysis using large data sets, and in data-driven decision making.


Responsibilities:


Partner with product management by providing analytics tracking, identify key metrics, build executive-facing dashboards to track product feature usage and performance
Perform analytical deep-dives to analyze problems and product development opportunities by researching, designing & executing experiments and provide recommendations based on the experiment performance
Develop a deep understanding of the Small Business Group ecosystem and be able to identify and analyze the impact of product changes on customer behavior, engagement and retention
Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers, understand how our users interact with the product and proactively come up with ideas to improve customer experience
Communicate analytical findings and recommendations in a clear and concise way to non-technical audiences, both in oral and written presentations
Qualifications
MS or PhD degree in Statistics, Mathematics, Operations Research, CS, Econometrics or related field
3+ years relevant experience with a proven track record of leveraging analytics to drive significant business impact.
Advanced SQL skills and proficiency in visualization tools such as Tableau
Experience with R, Python and Hive
Experience working on ETL processes and procedures
Familiar with tracking, instrumentation and the clickstream data
Exceptional analytical skills and communication skills with the ability to influence decision makers and build consensus with teams
"
17,1,"JD.COM is looking for an exceptional self-motivated data scientist to join our Y-Division in JD.COM Silicon Valley R&D Center. Y-Division owns the technology platform that drives one of the largest supply chain and fulfillment networks in the world. As a data scientist, you will be able to work with the data generated by hundreds of millions of JD.COMs active users and your work will directly influence critical operations of the multi-billion dollar business such as inventory management, dynamic pricing, product selection, vendor management and more. 

Responsibilities:
Work with business, engineer and product management teams to form understandings of the requirements and processes of existing systems. Apply data mining, quantitative analysis and visualization techniques to exam existing business status and identify opportunities for improvements.
Analyze and validate real-world data, work with engineer and product management teams to design solutions to improve data quality.
Build predictive models and machine learning models to provide business insights.


Qualifications:
Master or Ph.D. degree in Computer Science, Operational Research, Statistics, Mathematics or related field.
Hands-on experience with large scale data platforms such as Hadoop and Hive.
Experience with data manipulation and analysis using SQL.
Development experience in scripting languages such as Python.
Experience with statistical software such as R.
Ability to communicate the analysis results with the leadership teams to influence the strategy of product and business development.
Excellent written and oral communication skills.
About JD.com, Inc. 

JD.com, Inc. is one of the Top 10 Internet Company, the largest online retailer in China and the countrys largest Internet company by revenue. The Company strives to offer consumers the best online shopping experience. Through its content-rich and user-friendly website jd.com and mobile applications, JD.com offers a wide selection of authentic products at competitive prices and delivers products in a speedy and reliable manner. JD.com has the largest fulfillment infrastructure of any e-commerce company in China. It operates 7 fulfillment centers, 196 warehouses in 46 cities, and 4,760 deliveries and pickup stations in 2,266 counties and districts across China. JD.com is a member of the NASDAQ100 and a Fortune 500 company. 

About JD-Y team 

JD Y Division (JD-Y) focuses on building a smart supply chain and using AI to drive retail reform. The Y division applies AI algorithm and use data-driven approaches in product selection, inventory management, pricing and promotion. It also leverage big data technologies in smart retail to lower the costs of distribution. The Y division is working with leaders in industry and academia to design and build the next generation supply chain management system. 

JD.com is an Equal Opportunity Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class.
"
18,1,"Job description
LinkedIn was built to help professionals achieve more in their careers, and every day millions of people use our products to make connections, discover opportunities and gain insights. Our global reach and our professional social network empower our data science teams to impact on the world’s workforce in ways no other company can. We are much more than a digital resume – we transform lives through innovative products and technology.
LinkedIn’s Analytics Team leverages big data to empower business decisions. Our team is rapidly reinventing the way that proprietary data can be converted to insights to drive enhance product and features. We use our rich member data to measure, understand and improve our products.
We are looking for a hands-on professional who is passionate about mining big data, turning data into insights, and making an impact through rigorous analysis, creative storytelling and timely actions. In this position, the data scientist will be expected to drive & lead technical horizontal projects across the team as well as work closely with product managers and engineers to drive LinkedIn’s core Premium Subscription products.
A successful candidate will be both technically strong and business savvy, with a collaborative and resourceful style that’s contagious. Our team is highly entrepreneurial and business-focused.

Responsibilities
Able to translate business objectives into detailed analysis proposals and own end-to-end analytics, effectively communicating complex findings to the broader audiences in written and presentation formats.
Ability to prioritize analysis resources and set direction in a fast-moving environment. Able to negotiate timelines with partner team based on broader business priorities.
Design and analyze experiments to test new product ideas and convert the results into actionable next steps and product recommendations.
Partner with cross-functional teams to lead or contribute to large-scale strategic projects as well as ongoing day to day operational activities.
Exploratory data analysis with the goal of product ideation, prototyping, and developing new and innovative features that can drive additional value for/engagement from our members
Formulate success metrics for completely novel products or business areas, socializing them and creating dashboards/reports to monitor them.
Provide technical guidance and mentorship to junior team members.
Basic Qualifications

BS or above degrees in quantitative fields - Computer Science, Engineering, Operational Research, Statistics, Economics or related fields.
5+ years experience in Analytics/Data Science working with large amounts of data.
Experience with SQL/relational databases
Experience with R or Python
Experience with unstructured data systems, i.e., Hadoop, Pig/Hive/Spark, etc.
Experience building visualization dashboards, such as Tableau, etc.
Preferred Qualifications

Masters or PhD degree in quantitative fields - Computer Science, Engineering, Operational Research, Statistics, Economics, Marketing or related fields.
5+ years experience in Analytics/Data Science, ideally within the relevant domains of consumer internet industry, and product analytics.
Experience with machine learning on large datasets.
Proficient working knowledge of Unix/Linux environment and other programming languages such as Python, Java, Scala.
Overall a highly driven, results-oriented, creative and nimble problem solver with a willingness to do “whatever it takes” to deliver business impact quickly.
Excellent communications skills, with the ability to synthesize, simplify and explain complex problems to both technical and non-technical audiences.

"
19,1,"LinkedIn was built to help professionals achieve more in their careers, and every day millions of people use our products to make connections, discover opportunities and gain insights. Our global reach means we get to make a direct impact on the world’s workforce in ways no other company can. We’re much more than a digital resume – we transform lives through innovative products and technology.

LinkedIn’s Analytics team leverages big data to empower business decisions and deliver data-driven insights, metrics, and tools in order to drive member engagement, business growth, and monetization efforts. With over 500 million members around the world, a focus on great user experience, and a mix of B2B and B2C programs, a career at LinkedIn offers countless ways for an ambitious data scientist to have an impact.

We are now looking for a talented and driven individual to accelerate our efforts and be a major part of our data-centric culture. This person will work closely with various cross functional teams such as product, marketing, sales, engineering and operation to develop and deliver metrics, analyses, solutions and insights, with actionable recommendations to business partners. Successful candidates will exhibit technical acumen and business savvy, with a passion for making an impact through creative storytelling and timely actions.

Responsibilities

• Work with a team of high-performing analytics, data science professionals, and cross functional teams to identify business opportunities, optimize product performance or go to market strategy.
• Analyze large-scale structured and unstructured data; develop deep-dive analyses and machine learning models to drive member value and customer success.
• Design and develop core business metrics, create insightful automated dashboards and data visualization to track them and extract useful business insights
• Design and analyze experiments to test new product ideas or go to market strategies. Convert the results into actionable recommendations.
• Craft compelling stories; make logical recommendations; drive informed actions.
• Engage with internal technology partners to prototype and validate tools developed in-house for near-real time processing of very large data sets
• Initiate and drive projects to completion with minimal guidance?
Basic Qualifications

• Bachelor or higher degree in a quantitative discipline: statistics, operations research, computer science, informatics, engineering, applied mathematics, economics, etc.
• Bachelors with 3+ years of industry experience or Masters with 1+ years of industry experience
• Experience with SQL and relational database query performance.
• Background in at least one programming language (e.g., R, Python, Java, Ruby, or Perl)
• Experience in applied statistics and statistical modeling in at least one statistical software package, preferably R
• Experience with data visualization tools (eg. Tableau, BI dashboarding, R visualization packages, etc.)
• Experience working with product or sales or marketing analytics domain or experience building front end visualizations using JavaScript frameworks (e.g., jQuery, Marionette, D3, or Highcharts).?
Preferred Qualifications

• Masters or PhD degree in a quantitative discipline: statistics, operations research, computer science, informatics, engineering, applied mathematics, economics, etc.
• Experience with manipulating massive-scale structured and unstructured data.
• Experience with Hadoop or other MapReduce paradigms, and associated languages such as Pig, Hive, etc.
• Working knowledge of Unix and Unix-like systems, git and reviewboard.
• Excellent communications skills, with the ability to synthesize, simplify and explain complex problems to different types of audience.
"
20,1,"At Lyft, community is who we are and its what we do. Its what makes us different. To create the best ride for all, we start in our own community by creating an open, inclusive, and diverse organization where all team members are recognized for what they bring.

Data is at the heart of how Lyft makes business and product decisions. As a data science team, we work collaboratively with partners across product, engineering, operations and growth to develop business insights and make actionable recommendations. Were looking for passionate data scientists to come work alongside us to take on some of the most interesting and impactful problems in ridesharing.

Youll be working in a dynamic environment, where we embrace moving quickly to build the worlds best transportation. Data Scientists pursue a variety of problems ranging from understanding our passengers and drivers, to ensuring we have an efficient marketplace, to optimizing how we run our marketing and growth incentives. Youll dig into the data to uncover insights, design experiments and measure the impact, and ultimately help influence decision-making across the entire organization.

Responsibilities:
• Set business metrics that measure the health of our products, as well as passenger and driver experience
• Partner with product managers, engineers, marketers, designers, and operators to translate business insights into decisions and action
• Find opportunities for growth and efficiency for Lyft
• Design and analyze product experiments; communicate results and launch decisions
• Develop analytical frameworks to monitor business and product performance

Experience & Skills:
• Degree in a quantitative field like statistics, economics, applied math, operations research or engineering. Advanced degrees are preferred
• 3+ years of industry experience in a data science or analytics role
• Proficiency in SQL - able to write structured and efficient queries on large data sets
• Experience in programming, especially with data science and visualization libraries in Python or R
• Strong oral and written communication skills, and ability to collaborate with cross-functional partners to build the business

Lyft is an Equal Employment Opportunity employer that proudly pursues and hires a diverse workforce. Lyft does not make hiring or employment decisions on the basis of race, color, religion or religious belief, ethnic or national origin, nationality, sex, gender, gender-identity, sexual orientation, disability, age, military or veteran status, or any other basis protected by applicable local, state, or federal laws or prohibited by Company policy. Lyft also strives for a healthy and safe workplace and strictly prohibits harassment of any kind. Pursuant to the San Francisco Fair Chance Ordinance and other similar state laws and local ordinances, and its internal policy, Lyft will also consider for employment qualified applicants with arrest and conviction records"
21,1,"Research Scientist - San Francisco
San Francisco
Science
At Lyft, community is what we are and it’s what we do. It’s what makes us different. To create the best ride for all, we start in our own community by creating an open, inclusive, and diverse organization where all team members are recognized for what they bring.
Lyft’s Research Science Team builds mathematical models underpinning the platform’s core services. Compared to other technology companies of a similar size, the set of problems that we tackle is incredibly diverse. They cut across optimization, prediction, modeling, inference, transportation, and mapping. We are hiring motivated experts in each of these fields. The ideal candidate is a critical thinker, is passionate about solving mathematical problems with data, and is excited about working in a fast-paced, innovative and collegial environment.
Responsibilities:
Work with Engineers, Product Managers, and Business Partners to frame problems, both mathematically and within the business context.
Perform exploratory data analysis to gain a deeper understanding of the problem
Construct and fit statistical, machine learning, or optimization models
Write production modeling code; collaborate with Software Engineers to implement algorithms in production
Design and run both simulated and live traffic experiments
Analyze experimental and observational data; communicate findings; facilitate launch decisions
Experience & Skills:
M.S. or Ph.D. in Statistics, Operations Research, Mathematics, Computer Science, or other quantitative fields
4+ years professional experience
Passion for solving unstructured and non-standard mathematical problems
End-to-end experience with data, including querying, aggregation, analysis, and visualization
Proficiency with Python, or another interpreted programming language like R or Matlab
Willingness to collaborate and communicate with others to solve a problem
Lyft is an Equal Employment Opportunity employer that proudly pursues and hires a diverse workforce. Lyft does not make hiring or employment decisions on the basis of race, color, religion or religious belief, ethnic or national origin, nationality, sex, gender, gender identity, sexual orientation, disability, age, military or veteran status, or any other basis protected by applicable local, state, or federal laws or prohibited by Company policy. Lyft also strives for a healthy and safe workplace and strictly prohibits harassment of any kind. Pursuant to the San Francisco Fair Chance Ordinance and other similar state laws and local ordinances, and its internal policy, Lyft will also consider for employment qualified applicants with arrest and conviction records.


"
